,region,surface_area,independence_year,population,life_expectancy,gnp,gnp_old,local_name
0,Caribbean,193.0,,103000,78.4,828.0,793.0,Aruba
1,Southern and Central Asia,652090.0,1919.0,22720000,45.9,5976.0,,Afganistan/Afqanestan
2,Central Africa,1246700.0,1975.0,12878000,38.3,6648.0,7984.0,Angola
3,Caribbean,96.0,,8000,76.1,63.2,,Anguilla
4,Southern Europe,28748.0,1912.0,3401200,71.6,3205.0,2500.0,Shqiperia
5,Southern Europe,468.0,1278.0,78000,83.5,1630.0,,Andorra
6,Caribbean,800.0,,217000,74.7,1941.0,,Nederlandse Antillen
7,Middle East,83600.0,1971.0,2441000,74.1,37966.0,36846.0,Al-Imarat al- Arabiya al-Muttahida
8,South America,2780400.0,1816.0,37032000,75.1,340238.0,323310.0,Argentina
9,Middle East,29800.0,1991.0,3520000,66.4,1813.0,1627.0,Hajastan
10,Polynesia,199.0,,68000,75.1,334.0,,Amerika Samoa
11,Antarctica,13120000.0,,0,,0.0,,
12,Antarctica,7780.0,,0,,0.0,,Terres australes francaises
13,Caribbean,442.0,1981.0,68000,70.5,612.0,584.0,Antigua and Barbuda
14,Australia and New Zealand,7741220.0,1901.0,18886000,79.8,351182.0,392911.0,Australia
15,Western Europe,83859.0,1918.0,8091800,77.7,211860.0,206025.0,osterreich
16,Middle East,86600.0,1991.0,7734000,62.9,4127.0,4100.0,Azarbaycan
17,Eastern Africa,27834.0,1962.0,6695000,46.2,903.0,982.0,Burundi/uburundi
18,Western Europe,30518.0,1830.0,10239000,77.8,249704.0,243948.0,Belgie/Belgique
19,Western Africa,112622.0,1960.0,6097000,50.2,2357.0,2141.0,Benin
20,Western Africa,274000.0,1960.0,11937000,46.7,2425.0,2201.0,Burkina Faso
21,Southern and Central Asia,143998.0,1971.0,129155000,60.2,32852.0,31966.0,Bangladesh
22,Eastern Europe,110994.0,1908.0,8190900,70.9,12178.0,10169.0,Balgarija
23,Middle East,694.0,1971.0,617000,73.0,6366.0,6097.0,Al-Bahrayn
24,Caribbean,13878.0,1973.0,307000,71.1,3527.0,3347.0,The Bahamas
25,Southern Europe,51197.0,1992.0,3972000,71.5,2841.0,,Bosna i Hercegovina
26,Eastern Europe,207600.0,1991.0,10236000,68.0,13714.0,,Belarus
27,Central America,22696.0,1981.0,241000,70.9,630.0,616.0,Belize
28,North America,53.0,,65000,76.9,2328.0,2190.0,Bermuda
29,South America,1098581.0,1825.0,8329000,63.7,8571.0,7967.0,Bolivia
30,South America,8547403.0,1822.0,170115000,62.9,776739.0,804108.0,Brasil
31,Caribbean,430.0,1966.0,270000,73.0,2223.0,2186.0,Barbados
32,Southeast Asia,5765.0,1984.0,328000,73.6,11705.0,12460.0,Brunei Darussalam
33,Southern and Central Asia,47000.0,1910.0,2124000,52.4,372.0,383.0,Druk-Yul
34,Antarctica,59.0,,0,,0.0,,Bouvetoya
35,Southern Africa,581730.0,1966.0,1622000,39.3,4834.0,4935.0,Botswana
36,Central Africa,622984.0,1960.0,3615000,44.0,1054.0,993.0,Centrafrique/Be-Afrika
37,North America,9970610.0,1867.0,31147000,79.4,598862.0,625626.0,Canada
38,Australia and New Zealand,14.0,,600,,0.0,,Cocos (Keeling) Islands
39,Western Europe,41284.0,1499.0,7160400,79.6,264478.0,256092.0,Schweiz/Suisse/Svizzera/Svizra
40,South America,756626.0,1810.0,15211000,75.7,72949.0,75780.0,Chile
41,Eastern Asia,9572900.0,-1523.0,1277558000,71.4,982268.0,917719.0,Zhongquo
42,Western Africa,322463.0,1960.0,14786000,45.2,11345.0,10285.0,Cote dIvoire
43,Central Africa,475442.0,1960.0,15085000,54.8,9174.0,8596.0,Cameroun/Cameroon
44,Central Africa,2344858.0,1960.0,51654000,48.8,6964.0,2474.0,Republique Democratique du Congo
45,Central Africa,342000.0,1960.0,2943000,47.4,2108.0,2287.0,Congo
46,Polynesia,236.0,,20000,71.1,100.0,,The Cook Islands
47,South America,1138914.0,1810.0,42321000,70.3,102896.0,105116.0,Colombia
48,Eastern Africa,1862.0,1975.0,578000,60.0,4401.0,4361.0,Komori/Comores
49,Western Africa,4033.0,1975.0,428000,68.9,435.0,420.0,Cabo Verde
50,Central America,51100.0,1821.0,4023000,75.8,10226.0,9757.0,Costa Rica
51,Caribbean,110861.0,1902.0,11201000,76.2,17843.0,18862.0,Cuba
52,Australia and New Zealand,135.0,,2500,,0.0,,Christmas Island
53,Caribbean,264.0,,38000,78.9,1263.0,1186.0,Cayman Islands
54,Middle East,9251.0,1960.0,754700,76.7,9333.0,8246.0,Kypros/Kibris
55,Eastern Europe,78866.0,1993.0,10278100,74.5,55017.0,52037.0,esko
56,Western Europe,357022.0,1955.0,82164700,77.4,2133367.0,2102826.0,Deutschland
57,Eastern Africa,23200.0,1977.0,638000,50.8,382.0,373.0,Djibouti/Jibuti
58,Caribbean,751.0,1978.0,71000,73.4,256.0,243.0,Dominica
59,Nordic Countries,43094.0,800.0,5330000,76.5,174099.0,169264.0,Danmark
60,Caribbean,48511.0,1844.0,8495000,73.2,15846.0,15076.0,Republica Dominicana
61,Northern Africa,2381741.0,1962.0,31471000,69.7,49982.0,46966.0,Al-Jazair/Algerie
62,South America,283561.0,1822.0,12646000,71.1,19770.0,19769.0,Ecuador
63,Northern Africa,1001449.0,1922.0,68470000,63.3,82710.0,75617.0,Misr
64,Eastern Africa,117600.0,1993.0,3850000,55.8,650.0,755.0,Ertra
65,Northern Africa,266000.0,,293000,49.8,60.0,,As-Sahrawiya
66,Southern Europe,505992.0,1492.0,39441700,78.8,553233.0,532031.0,Espana
67,Baltic Countries,45227.0,1991.0,1439200,69.5,5328.0,3371.0,Eesti
68,Eastern Africa,1104300.0,-1000.0,62565000,45.2,6353.0,6180.0,YeItyop iya
69,Nordic Countries,338145.0,1917.0,5171300,77.4,121914.0,119833.0,Suomi
70,Melanesia,18274.0,1970.0,817000,67.9,1536.0,2149.0,Fiji Islands
71,South America,12173.0,,2000,,0.0,,Falkland Islands
72,Western Europe,551500.0,843.0,59225700,78.8,1424285.0,1392448.0,France
73,Nordic Countries,1399.0,,43000,78.4,0.0,,Foroyar
