continent,local_name
Europe,Shqiperia
Europe,Andorra
Europe,osterreich
Europe,Belgie/Belgique
Europe,Balgarija
Europe,Bosna i Hercegovina
Europe,Belarus
Europe,Schweiz/Suisse/Svizzera/Svizra
Europe,esko
Europe,Deutschland
Europe,Danmark
Europe,Espana
Europe,Eesti
Europe,Suomi
Europe,France
Europe,Foroyar
Europe,united Kingdom
Europe,Gibraltar
Europe,Ellada
Europe,Hrvatska
Europe,Magyarorszag
Europe,Ireland/eire
Europe,Island
Europe,Italia
Europe,Liechtenstein
Europe,Lietuva
Europe,Luxembourg/Letzebuerg
Europe,Latvija
Europe,Monaco
Europe,Moldova
Europe,Makedonija
Europe,Malta
Europe,Nederland
Europe,Norge
Europe,Polska
Europe,Portugal
Europe,Romania
Europe,Rossija
Europe,Svalbard og Jan Mayen
Europe,San Marino
Europe,Slovensko
Europe,Slovenija
Europe,Sverige
Europe,ukrajina
Europe,Santa Sede/Citta del Vaticano
Europe,Jugoslavija
Africa,Angola
Africa,Burundi/uburundi
Africa,Benin
Africa,Burkina Faso
Africa,Botswana
Africa,Centrafrique/Be-Afrika
Africa,Cote dIvoire
Africa,Cameroun/Cameroon
Africa,Republique Democratique du Congo
Africa,Congo
Africa,Komori/Comores
Africa,Cabo Verde
Africa,Djibouti/Jibuti
Africa,Al-Jazair/Algerie
Africa,Misr
Africa,Ertra
Africa,As-Sahrawiya
Africa,YeItyop iya
Africa,Le Gabon
Africa,Ghana
Africa,Guinee
Africa,The Gambia
Africa,Guine-Bissau
Africa,Guinea Ecuatorial
Africa,British Indian Ocean Territory
Africa,Kenya
Africa,Liberia
Africa,Libiya
Africa,Lesotho
Africa,Al-Maghrib
Africa,Madagasikara/Madagascar
Africa,Mali
Africa,Mocambique
Africa,Muritaniya/Mauritanie
Africa,Mauritius
Africa,Malawi
Africa,Mayotte
Africa,Namibia
Africa,Niger
Africa,Nigeria
Africa,Reunion
Africa,Rwanda/urwanda
Africa,As-Sudan
Africa,Senegal/Sounougal
Africa,Saint Helena
Africa,Sierra Leone
Africa,Soomaaliya
Africa,Sao Tome e PrIncipe
Africa,kaNgwane
Africa,Sesel/Seychelles
Africa,Tchad/Tshad
Africa,Togo
Africa,Tunis/Tunisie
Africa,Tanzania
Africa,uganda
Africa,South Africa
Africa,Zambia
Africa,Zimbabwe
